Black: 0 | Positions evaluated: 4888 | Time: 0.0411014s
White: 6 | Positions evaluated: 6107 | Time: 0.0221251s
Black: 4 | Positions evaluated: 13685 | Time: 0.0373483s
White: 1 | Positions evaluated: 19786 | Time: 0.0607397s
Black: 3 | Positions evaluated: 42902 | Time: 0.13345951s
White: 1 | Positions evaluated: 88338 | Time: 0.1910168s
Black: 3 | Positions evaluated: 66980 | Time: 0.165096s
White: 1 | Positions evaluated: 166457 | Time: 0.35525477s
Black: 2 | Positions evaluated: 153227 | Time: 0.33303422s
White: 1 | Positions evaluated: 150710 | Time: 0.2997444s
Black: 1 | Positions evaluated: 141934 | Time: 0.3316087s
White: 0 | Positions evaluated: 144994 | Time: 0.3271302s
Black: 2 | Positions evaluated: 253308 | Time: 0.4499074s
White: 0 | Positions evaluated: 171073 | Time: 0.366891s
Black: 1 | Positions evaluated: 122517 | Time: 0.2160134s
White: 0 | Positions evaluated: 124717 | Time: 0.28922588s
Black: 0 | Positions evaluated: 78443 | Time: 0.1507386s
White: -1 | Positions evaluated: 155066 | Time: 0.3021251s
Black: 0 | Positions evaluated: 171919 | Time: 0.298917s
White: -5 | Positions evaluated: 180985 | Time: 0.3143537s
Black: 0 | Positions evaluated: 191929 | Time: 0.347009s
White: -9 | Positions evaluated: 757783 | Time: 1.077917s
Black: 0 | Positions evaluated: 267611 | Time: 0.4586824s
White: -12 | Positions evaluated: 1026999 | Time: 1.3975542s
Black: 0 | Positions evaluated: 540485 | Time: 0.8084517s
White: -13 | Positions evaluated: 894100 | Time: 1.2661502s
Black: 0 | Positions evaluated: 424968 | Time: 0.6130476s
White: -16 | Positions evaluated: 591462 | Time: 0.9136238s
Black: 3 | Positions evaluated: 686936 | Time: 0.8788754s
White: -23 | Positions evaluated: 843318 | Time: 1.1907994s
Black: 4 | Positions evaluated: 774413 | Time: 1.0122765s
White: -26 | Positions evaluated: 2052065 | Time: 2.736256s
Black: 5 | Positions evaluated: 1145212 | Time: 1.3874124s
White: -35 | Positions evaluated: 926337 | Time: 1.2079648s
Black: 4 | Positions evaluated: 1309830 | Time: 1.4734502s
White: -23 | Positions evaluated: 1083216 | Time: 1.3473036s
Black: -6 | Positions evaluated: 938277 | Time: 1.015595s
White: -23 | Positions evaluated: 774123 | Time: 0.89597297s
Black: -15 | Positions evaluated: 607183 | Time: 0.7159797s
White: -25 | Positions evaluated: 788159 | Time: 0.832944s
Black: 3 | Positions evaluated: 457938 | Time: 0.4679645s
White: -45 | Positions evaluated: 285037 | Time: 0.3386791s
Black: 37 | Positions evaluated: 414143 | Time: 0.3573635s
White: -107 | Positions evaluated: 24464 | Time: 0.0319936s
Black: 74 | Positions evaluated: 269968 | Time: 0.2117897s
White: -131 | Positions evaluated: 31755 | Time: 0.0413635s
Black: 101 | Positions evaluated: 178499 | Time: 0.1316379s
White: -163 | Positions evaluated: 17748 | Time: 0.0187548s
Black: 137 | Positions evaluated: 76610 | Time: 0.0529623s
White: -213 | Positions evaluated: 2512 | Time: 0.0023198s
Black: 165 | Positions evaluated: 36425 | Time: 0.0266522s
White: -211 | Positions evaluated: 1466 | Time: 0.0014532s
Black: 154 | Positions evaluated: 12069 | Time: 0.0103275s
White: -215 | Positions evaluated: 1481 | Time: 0.0015875s
Black: 24000 | Positions evaluated: 809 | Time: 7.709E-4s
White: -24000 | Positions evaluated: 75 | Time: 1.214E-4s
Black: 24000 | Positions evaluated: 32 | Time: 9.04E-5s
White: -24000 | Positions evaluated: 11 | Time: 2.25E-5s
Black: 24000 | Positions evaluated: 6 | Time: 1.59E-5s
White: -24000 | Positions evaluated: 1 | Time: 1.06E-5s
